dataset,paper_id,field,second_human,gold
piloto_50,STGCN,graph_node_count_min,228,12
piloto_50,GP-DCRNN,venue_type,preprint,journal
piloto_50,GP-DCRNN,node_unit,sensors,stations
piloto_50,GMAN,year,2020,2019
piloto_50,STTN,venue_type,preprint,journal
piloto_50,STTN,has_public_code,not_reported,no
piloto_50,TL-DCRNN,venue_type,preprint,journal
piloto_50,MTGNN,dataset_family,metr_la|pems_bay|solar_energy|traffic|electricity|exchange_rate,traffic|solar_energy|electricity|exchange_rate|metr_la|pems_bay
piloto_50,MTGNN,frequency_unit,mixed,dataset_specific
piloto_50,COVID-STGNN,graph_node_count_status,found,partial
piloto_50,Dynamic DCRNN-WAN,venue_type,competition_workshop,preprint
piloto_50,Dynamic DCRNN-WAN,graph_node_count_min,12,96
piloto_50,HighAir,has_public_dataset,yes,no
piloto_50,HighAir,graph_node_count_max,56,10
piloto_50,HighAir,graph_node_count_status,found,partial
piloto_50,Radflow,frequency_unit,mixed,dataset_specific
piloto_50,Radflow,graph_node_count_max,366145,366802
piloto_50,USTGCN,venue_type,conference,preprint
piloto_50,DGCRN,task_class,traffic_forecasting,benchmark_evaluation
piloto_50,CNFGNN,dataset_family,metr_la|pems_bay,pems_bay|metr_la
piloto_50,PV-GCLSTM,has_public_dataset,not_reported,no
piloto_50,PV-GCLSTM,node_unit,nodes,stations
piloto_50,MC-STGCN,venue_type,preprint,journal
piloto_50,MC-STGCN,target_class,traffic_speed,traffic_speed_and_flow
piloto_50,STJGCN,year,2022,2021
piloto_50,Deep Ensemble UQ,has_public_code,not_reported,no
piloto_50,Adaptive GCN Framework,venue_type,journal,preprint
piloto_50,Adaptive GCN Framework,has_public_code,not_reported,no
piloto_50,CorrSTN,venue_type,journal,preprint
piloto_50,CorrSTN,target_class,multiple_targets,traffic_flow
piloto_50,CorrSTN,frequency_value,5,dataset_specific
piloto_50,CorrSTN,frequency_unit,minutes,mixed
piloto_50,LightTS,has_public_code,yes,not_reported
piloto_50,STID,dataset_family,pemsd3|pemsd4|pemsd7|pemsd8|pems_bay|electricity,pemsd4|pemsd7|pemsd8|pems_bay|electricity
piloto_50,Wind-GNN-Transformers,has_public_dataset,yes,no
piloto_50,ST-SSL,year,2023,2024
piloto_50,ST-SSL,frequency_value,30,dataset_specific
piloto_50,ST-SSL,frequency_unit,minutes,mixed
piloto_50,ST-SSL,graph_node_count_status,partial,found
piloto_50,PDFormer,year,2023,2024
piloto_50,PDFormer,frequency_value,5,dataset_specific
piloto_50,PDFormer,frequency_unit,minutes,mixed
piloto_50,PDFormer,graph_node_count_min,170,75
piloto_50,PDFormer,graph_node_count_max,883,1024
piloto_50,SimST,target_class,traffic_flow,traffic_speed_and_flow
piloto_50,KDD Wind Power,year,2023,2022
