paper_id,field,gold,pred,error_category
STGCN,year,2018,2017,bibliographic_metadata
STGCN,venue_type,conference,preprint,bibliographic_metadata
Graph WaveNet,venue_type,conference,preprint,bibliographic_metadata
GP-DCRNN,venue_type,journal,preprint,bibliographic_metadata
GP-DCRNN,dataset_family,california_highway_pems,metr_la|pemsd7,dataset_family_recall_normalization
GP-DCRNN,has_public_code,not_reported,yes,access_evidence
GP-DCRNN,node_unit,stations,sensors,graph_node_semantics
GMAN,venue_type,conference,preprint,bibliographic_metadata
STTN,venue_type,journal,preprint,bibliographic_metadata
STTN,target_class,traffic_speed,traffic_flow,task_target_schema_boundary
TL-DCRNN,venue_type,journal,preprint,bibliographic_metadata
MTGNN,dataset_family,traffic|solar_energy|electricity|exchange_rate|metr_la|pems_bay,metr_la|pems_bay,dataset_family_recall_normalization
MTGNN,frequency_value,dataset_specific,5,temporal_setup_extraction
MTGNN,frequency_unit,dataset_specific,minutes,temporal_setup_extraction
MTGNN,node_unit,mixed,sensors,graph_node_semantics
H-STGCN,task_class,travel_time_forecasting,traffic_forecasting,task_target_schema_boundary
H-STGCN,has_public_code,not_reported,no,access_evidence
H-STGCN,horizon_type,single_horizon,sequence,temporal_setup_extraction
H-STGCN,horizon_min_value,60,6,temporal_setup_extraction
H-STGCN,horizon_max_value,60,6,temporal_setup_extraction
H-STGCN,horizon_unit,minutes,steps,temporal_setup_extraction
AGCRN,venue_type,conference,preprint,bibliographic_metadata
COVID-STGNN,graph_node_count_min,20,3146,graph_node_semantics
COVID-STGNN,graph_node_count_max,20,3146,graph_node_semantics
COVID-STGNN,graph_node_count_status,partial,found,graph_node_semantics
HighAir,horizon_type,multi_horizon,single_horizon,temporal_setup_extraction
HighAir,horizon_min_value,1,12,temporal_setup_extraction
HighAir,graph_node_count_min,10,2,graph_node_semantics
Radflow,dataset_family,vevo_music|wiki_traffic|los_loop|sz_taxi,vevo_music|wiki_traffic|los_loop|sz_taxi|traffic,dataset_family_recall_normalization
Radflow,frequency_value,dataset_specific,5,temporal_setup_extraction
Radflow,frequency_unit,dataset_specific,minutes,temporal_setup_extraction
Radflow,node_unit,mixed,nodes,graph_node_semantics
DGCRN,task_class,benchmark_evaluation,traffic_forecasting,task_target_schema_boundary
DGCRN,horizon_type,multi_horizon,single_horizon,temporal_setup_extraction
DGCRN,horizon_min_value,15,12,temporal_setup_extraction
DGCRN,horizon_max_value,60,12,temporal_setup_extraction
DGCRN,horizon_unit,minutes,steps,temporal_setup_extraction
PV-GCLSTM,has_public_dataset,no,yes,access_evidence
PV-GCLSTM,horizon_type,single_horizon,sequence,temporal_setup_extraction
PV-GCLSTM,horizon_min_value,6,24,temporal_setup_extraction
PV-GCLSTM,horizon_max_value,6,24,temporal_setup_extraction
