paper_id,year,venue_type,domain_class,task_class,target_class,dataset_family,has_public_code,has_public_dataset,horizon_type,horizon_min_value,horizon_max_value,horizon_unit,frequency_value,frequency_unit,graph_node_count_min,graph_node_count_max,node_unit,graph_node_count_status,coding_status,confidence
DCRNN,2018,conference,traffic,traffic_forecasting,traffic_speed,metr_la|pems_bay,yes,yes,multi_horizon,15,60,minutes,5,minutes,207,325,sensors,found,complete,high
STGCN,2018,conference,traffic,traffic_forecasting,traffic_speed,bjer4|pemsd7,not_reported,yes,multi_horizon,15,45,minutes,5,minutes,12,1026,sensors,found,complete,high
Graph WaveNet,2019,conference,traffic,traffic_forecasting,traffic_speed,metr_la|pems_bay,yes,yes,multi_horizon,15,60,minutes,5,minutes,207,325,sensors,found,complete,high
GP-DCRNN,2019,journal,traffic,traffic_forecasting,traffic_speed_and_flow,california_highway_pems,not_reported,yes,single_horizon,60,60,minutes,5,minutes,11160,11160,stations,found,complete,high
GMAN,2019,conference,traffic,traffic_forecasting,traffic_speed_and_flow,xiamen|pems_bay,yes,yes,sequence,12,12,steps,5,minutes,95,325,sensors,found,complete,high
STTN,2020,journal,traffic,traffic_forecasting,traffic_speed,pemsd7|pems_bay,no,yes,multi_horizon,15,60,minutes,5,minutes,228,325,sensors,found,complete,high
TL-DCRNN,2020,journal,traffic,traffic_forecasting,traffic_speed,california_highway_pems,yes,yes,single_horizon,60,60,minutes,5,minutes,11160,11160,sensors,found,complete,high
MTGNN,2020,conference,multivariate_timeseries,multivariate_timeseries_forecasting,multiple_targets,traffic|solar_energy|electricity|exchange_rate|metr_la|pems_bay,yes,yes,sequence,12,12,steps,dataset_specific,dataset_specific,8,862,mixed,found,complete,high
H-STGCN,2020,conference,traffic,travel_time_forecasting,travel_time,amap_beijing,not_reported,no,single_horizon,60,60,minutes,5,minutes,715,2907,road_segments,found,complete,high
AGCRN,2020,conference,traffic,traffic_forecasting,traffic_flow,pemsd4|pemsd8,yes,yes,sequence,12,12,steps,5,minutes,170,307,sensors,found,complete,high
COVID-STGNN,2020,preprint,epidemiology,covid_forecasting,covid_cases,nyt_covid|google_mobility,not_reported,yes,single_horizon,1,1,days,1,days,20,20,counties,partial,partial,medium
Dynamic DCRNN-WAN,2020,preprint,network_traffic,network_traffic_forecasting,network_bandwidth,not_reported,not_reported,no,multi_horizon,6,24,hours,1,hours,96,96,nodes,found,complete,high
HighAir,2021,preprint,air_quality,air_quality_forecasting,aqi,yangtze_air_quality,yes,no,multi_horizon,1,12,hours,1,hours,10,10,stations,partial,partial,medium
Radflow,2021,conference,general_network_timeseries,network_timeseries_prediction,multiple_targets,vevo_music|wiki_traffic|los_loop|sz_taxi,yes,yes,sequence,12,12,steps,dataset_specific,dataset_specific,156,366802,mixed,found,complete,high
