paper_id,year,venue_type,domain_class,task_class,target_class,dataset_family,has_public_code,has_public_dataset,horizon_type,horizon_min_value,horizon_max_value,horizon_unit,frequency_value,frequency_unit,graph_node_count_min,graph_node_count_max,node_unit,graph_node_count_status,coding_status,confidence
DCRNN,2018,conference,traffic,traffic_forecasting,traffic_speed,metr_la|pems_bay,yes,yes,multi_horizon,15,60,minutes,5,minutes,207,325,sensors,found,complete,high
STGCN,2018,conference,traffic,traffic_forecasting,traffic_speed,bjer4|pemsd7,not_reported,yes,multi_horizon,15,45,minutes,5,minutes,12,1026,sensors,found,complete,high
Graph WaveNet,2019,conference,traffic,traffic_forecasting,traffic_speed,metr_la|pems_bay,yes,yes,multi_horizon,15,60,minutes,5,minutes,207,325,sensors,found,complete,high
GP-DCRNN,2020,preprint,traffic,traffic_forecasting,traffic_speed_and_flow,pems,not_reported,yes,multi_horizon,15,60,minutes,5,minutes,11160,11160,sensors,found,complete,medium
GMAN,2020,conference,traffic,traffic_forecasting,traffic_speed_and_flow,xiamen|pems_bay,yes,yes,multi_horizon,15,60,minutes,5,minutes,95,325,sensors,found,complete,high
STTN,2020,preprint,traffic,traffic_forecasting,traffic_speed,pems_bay|pemsd7,not_reported,yes,multi_horizon,15,60,minutes,5,minutes,228,325,sensors,found,complete,medium
TL-DCRNN,2020,preprint,traffic,traffic_forecasting,traffic_speed,pems_bay|pems,yes,yes,single_horizon,60,60,minutes,5,minutes,325,11160,sensors,found,partial,medium
MTGNN,2020,conference,multiple,time_series_forecasting,multiple_targets,metr_la|pems_bay|solar_energy|electricity|exchange_rate|traffic,yes,yes,dataset_specific,not_reported,not_reported,steps,dataset_specific,mixed,8,862,mixed,found,partial,medium
H-STGCN,2020,conference,traffic,traffic_forecasting,multiple_targets,w3_715|e5_2907,not_reported,no,multi_horizon,15,30,minutes,5,minutes,715,2907,road_segments,found,partial,medium
AGCRN,2020,conference,traffic,traffic_forecasting,traffic_flow,pemsd4|pemsd8,yes,yes,sequence,12,12,steps,5,minutes,170,307,sensors,found,complete,high
COVID-STGNN,2020,preprint,epidemiology,epidemic_forecasting,multiple_targets,nyt_covid|google_mobility,not_reported,yes,sequence,4,4,days,1,days,not_reported,not_reported,counties,not_reported,partial,low
Dynamic DCRNN-WAN,2020,preprint,network,traffic_forecasting,multiple_targets,esnet,not_reported,not_reported,multi_horizon,6,24,hours,1,hours,96,96,nodes,found,partial,medium
HighAir,2020,preprint,environmental,air_quality_forecasting,air_quality,not_reported,yes,not_reported,sequence,12,12,hours,1,hours,not_reported,not_reported,stations,not_reported,partial,medium
Radflow,2021,conference,multiple,time_series_forecasting,multiple_targets,vevo_music|wiki_traffic|los_loop|sz_taxi,yes,yes,dataset_specific,not_reported,not_reported,mixed,dataset_specific,mixed,207,366145,mixed,found,partial,medium
