model,workflow,run_name,complete_csv,n_fields,matches,accuracy
qwen2.5-coder:7b,direct,balanced__qwen2_5_coder_7b__direct,yes,1000,462,0.462
qwen2.5-coder:7b,schema,balanced__qwen2_5_coder_7b__schema,yes,1000,574,0.574
qwen2.5-coder:7b,field_groups,balanced__qwen2_5_coder_7b__field_groups,yes,1000,602,0.602
qwen2.5-coder:7b,hybrid,balanced__qwen2_5_coder_7b__hybrid,yes,1000,637,0.637
qwen2.5-coder:7b,guided,balanced__qwen2_5_coder_7b__guided,yes,1000,584,0.584
qwen2.5-coder:7b,guided_access,balanced__qwen2_5_coder_7b__guided_access,yes,1000,592,0.592
qwen2.5-coder:7b,cot,balanced__qwen2_5_coder_7b__cot,yes,1000,726,0.726
qwen2.5-coder:7b,audit,balanced__qwen2_5_coder_7b__audit,yes,1000,607,0.607
qwen3-coder:30b,direct,balanced__qwen3_coder_30b__direct,yes,1000,638,0.638
qwen3-coder:30b,schema,balanced__qwen3_coder_30b__schema,yes,1000,726,0.726
qwen3-coder:30b,field_groups,balanced__qwen3_coder_30b__field_groups,yes,1000,742,0.742
qwen3-coder:30b,hybrid,balanced__qwen3_coder_30b__hybrid,yes,1000,724,0.724
qwen3-coder:30b,guided,balanced__qwen3_coder_30b__guided,yes,1000,796,0.796
qwen3-coder:30b,guided_access,balanced__qwen3_coder_30b__guided_access,yes,1000,803,0.803
qwen3-coder:30b,cot,balanced__qwen3_coder_30b__cot,yes,1000,725,0.725
qwen3-coder:30b,audit,balanced__qwen3_coder_30b__audit,yes,1000,792,0.792
command-r:35b,direct,balanced__command_r_35b__direct,yes,1000,543,0.543
command-r:35b,schema,balanced__command_r_35b__schema,yes,1000,673,0.673
command-r:35b,field_groups,balanced__command_r_35b__field_groups,yes,1000,596,0.596
command-r:35b,hybrid,balanced__command_r_35b__hybrid,yes,1000,665,0.665
command-r:35b,guided,balanced__command_r_35b__guided,yes,1000,640,0.640
command-r:35b,guided_access,balanced__command_r_35b__guided_access,yes,1000,653,0.653
command-r:35b,cot,balanced__command_r_35b__cot,yes,1000,552,0.552
command-r:35b,audit,balanced__command_r_35b__audit,yes,1000,669,0.669
gemma3:12b,direct,balanced__gemma3_12b__direct,yes,1000,512,0.512
gemma3:12b,schema,balanced__gemma3_12b__schema,yes,1000,653,0.653
gemma3:12b,field_groups,balanced__gemma3_12b__field_groups,yes,1000,642,0.642
gemma3:12b,hybrid,balanced__gemma3_12b__hybrid,yes,1000,629,0.629
gemma3:12b,guided,balanced__gemma3_12b__guided,yes,1000,667,0.667
gemma3:12b,guided_access,balanced__gemma3_12b__guided_access,yes,1000,669,0.669
gemma3:12b,cot,balanced__gemma3_12b__cot,yes,1000,620,0.620
gemma3:12b,audit,balanced__gemma3_12b__audit,yes,1000,668,0.668
mistral-nemo:12b,direct,balanced__mistral_nemo_12b__direct,yes,1000,478,0.478
mistral-nemo:12b,schema,balanced__mistral_nemo_12b__schema,yes,1000,545,0.545
mistral-nemo:12b,field_groups,balanced__mistral_nemo_12b__field_groups,yes,1000,601,0.601
mistral-nemo:12b,hybrid,balanced__mistral_nemo_12b__hybrid,yes,1000,585,0.585
mistral-nemo:12b,guided,balanced__mistral_nemo_12b__guided,yes,1000,593,0.593
mistral-nemo:12b,guided_access,balanced__mistral_nemo_12b__guided_access,yes,1000,605,0.605
mistral-nemo:12b,cot,balanced__mistral_nemo_12b__cot,yes,1000,504,0.504
mistral-nemo:12b,audit,balanced__mistral_nemo_12b__audit,yes,1000,611,0.611
llama3.1:8b,direct,balanced__llama3_1_8b__direct,yes,1000,566,0.566
llama3.1:8b,schema,balanced__llama3_1_8b__schema,yes,1000,601,0.601
llama3.1:8b,field_groups,balanced__llama3_1_8b__field_groups,yes,1000,602,0.602
llama3.1:8b,hybrid,balanced__llama3_1_8b__hybrid,yes,1000,597,0.597
llama3.1:8b,guided,balanced__llama3_1_8b__guided,yes,1000,675,0.675
llama3.1:8b,guided_access,balanced__llama3_1_8b__guided_access,yes,1000,683,0.683
llama3.1:8b,cot,balanced__llama3_1_8b__cot,yes,1000,533,0.533
llama3.1:8b,audit,balanced__llama3_1_8b__audit,yes,1000,674,0.674
